velocity,depth
3121.449268,416
3121.449268,417
3121.449268,418
3133.195015,419
3133.195015,420
3133.195015,421
3133.195015,422
2966.446055,423
2966.446055,424
2966.446055,425
2966.446055,426
3216.924153,427
3216.924153,428
3216.924153,429
3216.924153,430
2683.292204,431
2683.292204,432
2683.292204,433
2683.292204,434
2517.975457,435
2517.975457,436
2517.975457,437
2517.975457,438
2516.170349,439
2516.170349,440
2516.170349,441
2516.170349,442
2689.881961,443
2689.881961,444
2689.881961,445
2689.881961,446
2763.549902,447
2763.549902,448
2763.549902,449
2763.549902,450
2645.431169,451
2645.431169,452
2645.431169,453
2645.431169,454
2364.318986,455
2364.318986,456
2364.318986,457
2364.318986,458
2279.100515,459
2279.100515,460
2279.100515,461
2279.100515,462
2143.532578,463
2143.532578,464
2143.532578,465
2143.532578,466
2043.307011,467
2043.307011,468
2043.307011,469
2043.307011,470
2289.912979,471
2289.912979,472
2289.912979,473
2289.912979,474
2511.88073,475
2511.88073,476
2511.88073,477
2511.88073,478
2101.998096,479
2101.998096,480
2101.998096,481
2101.998096,482
1828.010599,483
1828.010599,484
1828.010599,485
1828.010599,486
1721.217235,487
1721.217235,488
1721.217235,489
1721.217235,490
1853.353398,491
1853.353398,492
1853.353398,493
1853.353398,494
2069.468176,495
2069.468176,496
2069.468176,497
2069.468176,498
1992.710257,499
1992.710257,500
1992.710257,501
1992.710257,502
1818.273412,503
1818.273412,504
1818.273412,505
1818.273412,506
1515.614192,507
1515.614192,508
1515.614192,509
1515.614192,510
1182.816625,511
1182.816625,512
1182.816625,513
1182.816625,514
1074.063346,515
1074.063346,516
1074.063346,517
1074.063346,518
1041.929417,519
1041.929417,520
1041.929417,521
1041.929417,522
1097.729929,523
1097.729929,524
1097.729929,525
1097.729929,526
1182.97333,527
1182.97333,528
1182.97333,529
1182.97333,530
1218.460381,531
1218.460381,532
1218.460381,533
1218.460381,534
1204.333657,535
1204.333657,536
1204.333657,537
1204.333657,538
1189.778984,539
1189.778984,540
1189.778984,541
1189.778984,542
1258.113819,543
1258.113819,544
1258.113819,545
1258.113819,546
1573.31597,547
1573.31597,548
1573.31597,549
1573.31597,550
2308.301944,551
2308.301944,552
2308.301944,553
2308.301944,554
2828.324873,555
2828.324873,556
2828.324873,557
2828.324873,558
3347.922766,559
3347.922766,560
3347.922766,561
3347.922766,562
3480.774886,563
3480.774886,564
3480.774886,565
3480.774886,566
3229.886602,567
3229.886602,568
3229.886602,569
3229.886602,570
2880.9913,571
2880.9913,572
2880.9913,573
2880.9913,574
2821.783113,575
2821.783113,576
2821.783113,577
2821.783113,578
2656.948072,579
2656.948072,580
2656.948072,581
2656.948072,582
2438.048026,583
2438.048026,584
2438.048026,585
2438.048026,586
2183.14047,587
2183.14047,588
2183.14047,589
2183.14047,590
2108.36295,591
2108.36295,592
2108.36295,593
2108.36295,594
2312.972366,595
2312.972366,596
2312.972366,597
2312.972366,598
2332.561692,599
2332.561692,600
2332.561692,601
2332.561692,602
2549.446375,603
2549.446375,604
2549.446375,605
2549.446375,606
2480.511299,607
2480.511299,608
2480.511299,609
2480.511299,610
2201.005248,611
2201.005248,612
2201.005248,613
2201.005248,614
2123.919555,615
2123.919555,616
2123.919555,617
2123.919555,618
2279.507332,619
2279.507332,620
2279.507332,621
2279.507332,622
2678.660343,623
2678.660343,624
2678.660343,625
2678.660343,626
3049.45555,627
3049.45555,628
3049.45555,629
3049.45555,630
2782.668533,631
2782.668533,632
2782.668533,633
2782.668533,634
2576.810569,635
2576.810569,636
2576.810569,637
2576.810569,638
2521.801896,639
2521.801896,640
2521.801896,641
2521.801896,642
2013.147811,643
2013.147811,644
2013.147811,645
2013.147811,646
1878.965894,647
1878.965894,648
1878.965894,649
1878.965894,650
1858.519634,651
1858.519634,652
1858.519634,653
1858.519634,654
1886.554273,655
1886.554273,656
1886.554273,657
1886.554273,658
1797.819158,659
1797.819158,660
1797.819158,661
1797.819158,662
1612.403592,663
1612.403592,664
1612.403592,665
1612.403592,666
1602.751194,667
1602.751194,668
1602.751194,669
1602.751194,670
1686.213197,671
